Procurement Vendor ID|Supplier Name |Address/Country|Service area|Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors |Please identify the Customer(s) or Account(s) under the PO  |IMT|IOT|Note
1000122568|AMERICAN EAGLE SYSTEMS INC|UNITED STATES|G  -  ENVIRONMENTAL  -|(blank)|All Customers|US|US|From Data Center team
1000129958|AT & T GLOBAL NETWORK SERVICES|FRANCE|F1  -  COLOCATION  -  |(blank)|All Customers|FRANCE|EUROPE|From Data Center team
1000130068|SCHNEIDER ELECTRIC IT MISSION|UNITED STATES|B  -  SITE MAINTENANCE|(blank)|All Customers|US|US|From Data Center team
1000181145|QWEST COMMUNICATIONS INTERNATIONAL|UNITED STATES|F1  -  COLOCATION  -  |(blank)|LSG SKY CHEFS|US|US|From Data Center team
1000192424|EQUINIX INC|GERMANY|F1  -  COLOCATION  -  |(blank)|DE00170012-127959|DACH|EUROPE|From Data Center team
1000192424|EQUINIX INC|FRANCE|F1  -  COLOCATION  -  |(blank)|All Customers|FRANCE|EUROPE|From Data Center team
1000192424|EQUINIX INC|UNITED STATES|F1  -  COLOCATION  -  |(blank)|All Customers|US|US|From Data Center team
1000192424|EQUINIX INC|UNITED STATES|F1  -  COLOCATION  -  |(blank)|DOW CHEM COMP|US|US|From Data Center team
1000192424|EQUINIX INC|UNITED STATES|F1  -  COLOCATION  -  |(blank)|HUMANA|US|US|From Data Center team
1000192424|EQUINIX INC|UNITED STATES|F1  -  COLOCATION  -  |(blank)|MOBILE MINI|US|US|From Data Center team
1000192424|EQUINIX INC|UNITED STATES|F1  -  COLOCATION  -  |(blank)|PEROXY LLC|US|US|From Data Center team
1000192424|EQUINIX INC|UNITED STATES|F1  -  COLOCATION  -  |(blank)|VANDER UNIV MED|US|US|From Data Center team
1000195612|AT&T|UNITED STATES|F1  -  COLOCATION  -  |(blank)|All Customers|US|US|From Data Center team
1000195612|AT&T|UNITED STATES|F1  -  COLOCATION  -  |(blank)|ST ARIZ MOT VEH|US|US|From Data Center team
1000197058|IRON MOUNTAIN OFF SITE DATA|UNITED STATES|G  -  ENVIRONMENTAL  -|(blank)|All Customers|US|US|From Data Center team
1000197058|IRON MOUNTAIN OFF SITE DATA|UNITED STATES|G  -  ENVIRONMENTAL  -|(blank)|HEALTH NET|US|US|From Data Center team
1000197058|IRON MOUNTAIN OFF SITE DATA|UNITED STATES|G  -  ENVIRONMENTAL  -|(blank)|PEARSO EDUCATIO|US|US|From Data Center team
1000206916|EQUINIX GERMANY GMBH|GERMANY|F1  -  COLOCATION  -  |(blank)|DE01200586-369439|DACH|EUROPE|From Data Center team
1000206916|EQUINIX GERMANY GMBH|GERMANY|F1  -  COLOCATION  -  |(blank)|DE01200586-369439|DACH|EUROPE|From Data Center team
1000226702|ORANGE|FRANCE|F1  -  COLOCATION  -  |(blank)|All Customers|FRANCE|EUROPE|From Data Center team
1000252289|INTERXION IRELAND LIMITED|IRELAND|F1  -  COLOCATION  -  |(blank)|All Customers|UKI|EUROPE|From Data Center team
1000268242|SERVECENTRIC|IRELAND|F1  -  COLOCATION  -  |(blank)|All Customers|UKI|EUROPE|From Data Center team
1000268242|SERVECENTRIC|IRELAND|F1  -  COLOCATION  -  |(blank)|OMNIPAY LIMITED|UKI|EUROPE|From Data Center team
1000268242|SERVECENTRIC|IRELAND|F1  -  COLOCATION  -  |(blank)|PIONEER INVESTMENT MAN|UKI|EUROPE|From Data Center team
1000291485|IRON MOUNTAIN IRELAND LTD|IRELAND|G  -  ENVIRONMENTAL  -|(blank)|All Customers|UKI|EUROPE|From Data Center team
1000291485|IRON MOUNTAIN IRELAND LTD|IRELAND|G  -  ENVIRONMENTAL  -|(blank)|ROYAL AND SUN ALLIANCE|UKI|EUROPE|From Data Center team
1000296498|RAGINGWIRE ENTERPRISE SOLUTIONS INC|UNITED STATES|F1  -  COLOCATION  -  |(blank)|CADENC DESI SYS|US|US|From Data Center team
1000306842|JONES LANG LASALLE PROPERTY CONSULT|SINGAPORE|B  -  SITE MAINTENANCE|(blank)|All Customers|ASE|AP|From Data Center team
1000306842|JONES LANG LASALLE PROPERTY CONSULT|SINGAPORE|B  -  SITE MAINTENANCE|(blank)|INTEGRATED HEALTH INFORMATION|ASE|AP|From Data Center team
1000310999|HLS ELECTRONICS PTE LTD|SINGAPORE|G  -  ENVIRONMENTAL  -|(blank)|AMERICAN EXPRESS INTERNATIONAL|ASE|AP|From Data Center team
1000310999|HLS ELECTRONICS PTE LTD|SINGAPORE|G  -  ENVIRONMENTAL  -|(blank)|HTL MANUFACTURING PTE LTD|ASE|AP|From Data Center team
1000317426|CBRE GWS FACILITIES MANAGEMENT PTY|SOUTH AFRICA|B  -  SITE MAINTENANCE|(blank)|All Customers|SOUTH AFRICA|MEA|From Data Center team
1000327888|DAISY COMMUNICATIONS LIMITED|UNITED KINGDOM|F1  -  COLOCATION  -  |(blank)|All Customers|UKI|EUROPE|From Data Center team
1000332256|WASPAR LIMITED|IRELAND|F1  -  COLOCATION  -  |(blank)|All Customers|UKI|EUROPE|From Data Center team
1000347854|VIRTU SECURE WEBSERVICES BV|NETHERLANDS|F1  -  COLOCATION  -  |(blank)|SNS|BENELUX|EUROPE|From Data Center team
1000347854|VIRTU SECURE WEBSERVICES BV|NETHERLANDS|F1  -  COLOCATION  -  |(blank)|SNS RE|BENELUX|EUROPE|From Data Center team
1000348110|EIFFAGE THERMIE ILE DE FRANCE|FRANCE|B  -  SITE MAINTENANCE|(blank)|All Customers|FRANCE|EUROPE|From Data Center team
1000349564|SPIE ILE DE FRANCE NORD OUEST|FRANCE|B  -  SITE MAINTENANCE|(blank)|All Customers|FRANCE|EUROPE|From Data Center team
1000350195|INTERXION BELGIUM NV|BELGIUM|F1  -  COLOCATION  -  |(blank)|All Customers|BENELUX|EUROPE|From Data Center team
1000359086|VERIZON BUSINESS NETWORK SERVICES|UNITED STATES|F1  -  COLOCATION  -  |(blank)|SONY PARK RIDGE|US|US|From Data Center team
1000363730|FLUOR ENTERPRISES INC|UNITED STATES|B  -  SITE MAINTENANCE|(blank)|All Customers|US|US|From Data Center team
1000363730|FLUOR ENTERPRISES INC|UNITED STATES|B  -  SITE MAINTENANCE|(blank)|CHUBB INA|US|US|From Data Center team
1000363730|FLUOR ENTERPRISES INC|UNITED STATES|B  -  SITE MAINTENANCE|(blank)|DFS SV LLC|US|US|From Data Center team
1000363730|FLUOR ENTERPRISES INC|UNITED STATES|B  -  SITE MAINTENANCE|(blank)|SIKORS AIRCRAFT|US|US|From Data Center team
1000368272|DATA STORAGE SECURITY SRL|ITALY|G  -  ENVIRONMENTAL  -|(blank)|All Customers|ITALY|EUROPE|From Data Center team
1000368313|GLOBAL SWITCH PARIS SARL|FRANCE|F1  -  COLOCATION  -  |(blank)|All Customers|FRANCE|EUROPE|From Data Center team
1000368313|GLOBAL SWITCH PARIS SARL|FRANCE|F1  -  COLOCATION  -  |(blank)|SG SIEGE VALMY      D2|FRANCE|EUROPE|From Data Center team
1000372227|E PARISARAA PRIVATE LIMITED|INDIA|G  -  ENVIRONMENTAL  -|(blank)|AMERICAN EXPRESS PVT LTD|ISA|AP|From Data Center team
1000372227|E PARISARAA PRIVATE LIMITED|INDIA|G  -  ENVIRONMENTAL  -|(blank)|FLUOR DANIEL INDIA PRIVATE LIM|ISA|AP|From Data Center team
1000372227|E PARISARAA PRIVATE LIMITED|INDIA|G  -  ENVIRONMENTAL  -|(blank)|VODAFONE INDIA LTD|ISA|AP|From Data Center team
1000373345|ICOMER|SOUTH KOREA|B  -  SITE MAINTENANCE|(blank)|DAELIM CORPORATION CON. &  INF|KOR|AP|From Data Center team
1000373644|EKOLOGIJOS VIZIJA VSI|LITHUANIA|G  -  ENVIRONMENTAL  -|(blank)|All Customers|CEE|EUROPE|From Data Center team
1000373971|KEQUN COMPUTER TECHNOLOGY SHANGHAI|CHINA|B  -  SITE MAINTENANCE|(blank)|All Customers|CHR|CH|From Data Center team
1000375407|CUMMINS INDIA LIMITED|INDIA|B  -  SITE MAINTENANCE|(blank)|All Customers|ISA|AP|From Data Center team
1000375841|ASIA TONE SHANGHAI CO LTD|CHINA|F1  -  COLOCATION  -  |(blank)|All Customers|CHR|CH|From Data Center team
1000375841|ASIA TONE SHANGHAI CO LTD|CHINA|F1  -  COLOCATION  -  |(blank)|All Customers|CHR|CH|From Data Center team
1000377665|TPS SP Z O O|POLAND|B  -  SITE MAINTENANCE|(blank)|NORDEA BANK AB SA|CEE|EUROPE|From Data Center team
1000378718|ITI LIMITED|INDIA|F1  -  COLOCATION  -  |(blank)|All Customers|ISA|AP|From Data Center team
1000378718|ITI LIMITED|INDIA|F1  -  COLOCATION  -  |(blank)|GAMMON INDIA LIMITED|ISA|AP|From Data Center team
1000378931|NANJING SYNC NEED SYSTEM|CHINA|B  -  SITE MAINTENANCE|(blank)|All Customers|CHR|CH|From Data Center team
1000379763|EQUINIX SINGAPORE PTE LTD|BELGIUM|F1  -  COLOCATION  -  |(blank)|All Customers|BENELUX|EUROPE|From Data Center team
1000379857|JONES LANG LASALLE MANAGEMENT LIMIT|THAILAND|B  -  SITE MAINTENANCE|(blank)|All Customers|ASE|AP|From Data Center team
1000380874|TELECITYGROUP ITALIA SPA|ITALY|F1  -  COLOCATION  -  |(blank)|All Customers|ITALY|EUROPE|From Data Center team
1000383231|AR CO|SOUTH KOREA|B  -  SITE MAINTENANCE|(blank)|All Customers|KOR|AP|From Data Center team
1000384444|OFFICE DEPOT KOREA LTD|SOUTH KOREA|B  -  SITE MAINTENANCE|(blank)|All Customers|KOR|AP|From Data Center team
1000384696|TRIMAX IT INFRASTRUCTURE AND SERVIC|INDIA|F1  -  COLOCATION  -  |(blank)|AEGON RELIGARE LIFE INSURANCE|ISA|AP|From Data Center team
1000384696|TRIMAX IT INFRASTRUCTURE AND SERVIC|INDIA|F1  -  COLOCATION  -  |(blank)|DEWAN HOUSING FINANCE CORPORAT|ISA|AP|From Data Center team
1000384696|TRIMAX IT INFRASTRUCTURE AND SERVIC|INDIA|F1  -  COLOCATION  -  |(blank)|YAZAKI INDIA LTD|ISA|AP|From Data Center team
1000385616|M MOSER DESIGN AND ARCHITECTURE|CHINA|B  -  SITE MAINTENANCE|(blank)|All Customers|CHR|CH|From Data Center team
1000385841|SHANGHAI HIGH SOURCE TECHNOLOGY CO|CHINA|B  -  SITE MAINTENANCE|(blank)|All Customers|CHR|CH|From Data Center team
1000385877|SHANGHAI JIN YAO ELECTRONIC|CHINA|B  -  SITE MAINTENANCE|(blank)|All Customers|CHR|CH|From Data Center team
1000385969|SHANGHAI SPEEDPRO INFORMATION|CHINA|B  -  SITE MAINTENANCE|(blank)|All Customers|CHR|CH|From Data Center team
1000385972|SHANGHAI SYMPHONY|CHINA|F1  -  COLOCATION  -  |(blank)|7000000567-826496|CHR|CH|From Data Center team
1000387078|SCHNEIDER ELECTRIC KOREA|SOUTH KOREA|B  -  SITE MAINTENANCE|(blank)|HANJIN - S/R(RS/6000)|KOR|AP|From Data Center team
1000388356|SIEMENS LIMITED|INDIA|B  -  SITE MAINTENANCE|(blank)|All Customers|ISA|AP|From Data Center team
1000388356|SIEMENS LIMITED|INDIA|B  -  SITE MAINTENANCE|(blank)|VODAFONE INDIA LIMITED|ISA|AP|From Data Center team
1000389099|VIA WEST INC|UNITED STATES|F1  -  COLOCATION  -  |(blank)|OR DAS|US|US|From Data Center team
1000389099|VIA WEST INC|UNITED STATES|F1  -  COLOCATION  -  |(blank)|STANDA INS|US|US|From Data Center team
1000389099|VIA WEST INC|UNITED STATES|F1  -  COLOCATION  -  |(blank)|U LAUN ALL LLC|US|US|From Data Center team
1000390484|FIRE SOLUTION INDIA PVT LTD|INDIA|B  -  SITE MAINTENANCE|(blank)|BHARTI AIRTEL LIMITED|ISA|AP|From Data Center team
1000392983|RIELLO POWER INDIA PRIVATE LIMITED|INDIA|B  -  SITE MAINTENANCE|(blank)|DELHI INTERNATIONAL AIRPORT LI|ISA|AP|From Data Center team
1000392988|NEXT GENERATION DATA LTD|UNITED KINGDOM|F1  -  COLOCATION  -  |(blank)|All Customers|UKI|EUROPE|From Data Center team
1000396206|COMPRO BUSINESS SERVICES|UNITED STATES|B  -  SITE MAINTENANCE|(blank)|All Customers|US|US|From Data Center team
1000396206|COMPRO BUSINESS SERVICES|UNITED STATES|B  -  SITE MAINTENANCE|(blank)|SEARS ROEB &|US|US|From Data Center team
1000396206|COMPRO BUSINESS SERVICES|UNITED STATES|B  -  SITE MAINTENANCE|(blank)|ST ARIZ MOT VEH|US|US|From Data Center team
1000396206|COMPRO BUSINESS SERVICES|UNITED STATES|F1  -  COLOCATION  -  |(blank)|All Customers|US|US|From Data Center team
1000396322|ARDELISYS TECHNOLOGIES PVT LTD|INDIA|B  -  SITE MAINTENANCE|(blank)|All Customers|ISA|AP|From Data Center team
1000397606|SWAFE BUSINESS PROCESS MANAGEMENT P|INDIA|B  -  SITE MAINTENANCE|(blank)|All Customers|ISA|AP|From Data Center team
1000397606|SWAFE BUSINESS PROCESS MANAGEMENT P|INDIA|B  -  SITE MAINTENANCE|(blank)|VODAFONE SHARED SERVICES LIMIT|ISA|AP|From Data Center team
1000398883|SOLUTION ENGINEERING LTD|HONG KONG|B  -  SITE MAINTENANCE|(blank)|All Customers|HKR|CH|From Data Center team
1000398883|SOLUTION ENGINEERING LTD|HONG KONG|B  -  SITE MAINTENANCE|(blank)|VF ASIA LIMITED|HKR|CH|From Data Center team
1000398998|NETWARE SYSTEMS PVT LTD|INDIA|B  -  SITE MAINTENANCE|(blank)|All Customers|ISA|AP|From Data Center team
1000399878|PT SOLUSI MITRA MANDIRI|INDONESIA|B  -  SITE MAINTENANCE|(blank)|PT SIGMA CIPTA CARAKA|ASE|AP|From Data Center team
1000402004|METRONODE PTY LTD|AUSTRALIA|F1  -  COLOCATION  -  |(blank)|All Customers|ANZ|AP|From Data Center team
1000402004|METRONODE PTY LTD|AUSTRALIA|F1  -  COLOCATION  -  |(blank)|INSURANCE AUSTRALIA LIMITED|ANZ|AP|From Data Center team
1000402094|PEAK DATA GROUP HK LTD|TAIWAN|G  -  ENVIRONMENTAL  -|(blank)|AM EXPRESS INTL INC|TWR|CH|From Data Center team
1000402378|SPIE AGIS FIRE AND SECURITY SP Z O|POLAND|B  -  SITE MAINTENANCE|(blank)|All Customers|CEE|EUROPE|From Data Center team
1000402378|SPIE AGIS FIRE AND SECURITY SP Z O|POLAND|B  -  SITE MAINTENANCE|(blank)|NORDEA BANK AB LATVIA|CEE|EUROPE|From Data Center team
1000402378|SPIE AGIS FIRE AND SECURITY SP Z O|POLAND|B  -  SITE MAINTENANCE|(blank)|NORDEA BANK AB SA|CEE|EUROPE|From Data Center team
1000402406|SCHNEIDER ELECTRIC PERU SA|PERU|B  -  SITE MAINTENANCE|(blank)|All Customers|SSA|LA|From Data Center team
1000402406|SCHNEIDER ELECTRIC PERU SA|PERU|B  -  SITE MAINTENANCE|(blank)|COMP. MINAS BUE|SSA|LA|From Data Center team
1000402760|DUBLIN AIRPORT AUTHORITY PLC|IRELAND|F1  -  COLOCATION  -  |(blank)|AER LINGUS PLC|UKI|EUROPE|From Data Center team
1000404909|EQUINIX HONG KONG LIMITED|HONG KONG|F1  -  COLOCATION  -  |(blank)|CITYLINE (HONG KONG) LTD|HKR|CH|From Data Center team
1000404909|EQUINIX HONG KONG LIMITED|HONG KONG|F1  -  COLOCATION  -  |(blank)|DBS BANK (HONG KONG) LIMITED|HKR|CH|From Data Center team
1000404909|EQUINIX HONG KONG LIMITED|HONG KONG|F1  -  COLOCATION  -  |(blank)|SONY ELECTRONICS SINGAPORE PTE|HKR|CH|From Data Center team
1000404909|EQUINIX HONG KONG LIMITED|HONG KONG|F1  -  COLOCATION  -  |(blank)|VF ASIA LIMITED|HKR|CH|From Data Center team
1000404932|SOLUTION ENGINEERING MACAU LTD|MACAU|B  -  SITE MAINTENANCE|(blank)|All Customers|HKR|CH|From Data Center team
1000405300|ANCAR PARKING ESTACIONAMENTOS LTDA|BRAZIL|B  -  SITE MAINTENANCE|(blank)|BNDES|BZL|LA|From Data Center team
