Procurement Reference (Mandatory for Third Party - 1ø Tier Vendor)  or IBM identification Nbr. |Entity Name (IBM or Third Party vendor) |Country/Address|Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors |Tool Name/Tool Reference| In what category is the Vendor's Service Description ? (using the categories in GSAR (Global Solution Architecture Repository)) |On boarding|Off-Boarding|Tool Owner| Assesment Owner|NOTE|Does this Vendor Process Client Controlled PD ? Yes / No
IBM_EXP0036|IBM Deutschland Business & Technology Services GmbH|IBM-Allee 1  71139 Ehningen   -  Germany|N/A|SSIM SICR AECR|Identity & Access Management (*all)|||Vladislav Javorsky/Czech Republic/IBM|Gyongyi Macsarne Puspoki/Hungary/IBM|Support|
IBM_EXP0154|IBM Services Centre UK Limited|76 Upper Ground  London  SE1 9PZ  -  United Kingdom|N/A|SSIM SICR AECR|Identity & Access Management (*all)|||Vladislav Javorsky/Czech Republic/IBM|Gyongyi Macsarne Puspoki/Hungary/IBM|Support|
not listed|IBM CIC Hungary|HUNGARY|N/A|SSIM SICR AECR|Identity & Access Management (*all)|||Vladislav Javorsky/Czech Republic/IBM|Gyongyi Macsarne Puspoki/Hungary/IBM|Support|
1000426270|IPSOFT EU|AUSTRALIA|N/A|IPCenter (Dynamic Automation)|Integrated Service and Support Management |42005|45657|Absher  Monty|McGaugh  Pamela||No
1000426270|IPSOFT EU HOLDING BV               |BELGIUM|N/A|IPCenter (Dynamic Automation)|Integrated Service and Support Management |42005|45657|Absher  Monty|McGaugh  Pamela||No
K00213|IPSOFT EU HOLDING BV|JAPAN|N/A|IPCenter (Dynamic Automation)|Integrated Service and Support Management |42005|45657|Absher  Monty|McGaugh  Pamela||No
1000419829|IPSOFT INCORPORATED|UNITED STATES|N/A|IPCenter (Dynamic Automation)|Integrated Service and Support Management |42005|45657|Absher  Monty|McGaugh  Pamela||No
IBM_EXP0110|SoftLayer Dutch Holdings B.V|Paul van Vlissingenstraat 16 1096 BK Amsterdam   -  Netherlands|N/A|IPCenter (Dynamic Automation)|Integrated Service and Support Management |42005|45657|Absher  Monty|McGaugh  Pamela|Do not know know when Softlayer became a Vendor for IBM so using the same dates we are using for Ipsoft. |Yes
IBM_EXP0111|SoftLayer Technologies Netherlands B.V.|Paul van Vlissingenstraat 16 1096 BK Amsterdam   -  Netherlands|N/A|IPCenter (Dynamic Automation)|Integrated Service and Support Management |42005|45657|Absher  Monty|McGaugh  Pamela|Do not know know when Softlayer became a Vendor for IBM so using the same dates we are using for Ipsoft. |Yes
IBM_EXP0161|Softlayer Technologies UK Limited|8 Lincoln's Inn Fields  London  WC2A 3BP  -  United Kingdom|N/A|IPCenter (Dynamic Automation)|Integrated Service and Support Management |42005|45657|Absher  Monty|McGaugh  Pamela|Do not know know when Softlayer became a Vendor for IBM so using the same dates we are using for Ipsoft. |Yes
IBM_IMP0018|SoftLayer Technologies Australia Pty Limited|Level 13  IBM Centre  601 Pacific Highway  St Leonards NSW 2065  -   Australia|N/A|IPCenter (Dynamic Automation)|Integrated Service and Support Management |42005|45657|Absher  Monty|McGaugh  Pamela|Do not know know when Softlayer became a Vendor for IBM so using the same dates we are using for Ipsoft. |Yes
IBM_IMP0140|SoftLayer Technologies Japan K.K.|19-21 Nihonbashi Hakozaki-cho Chuo-ku  Tokyo 103-8510  -   Japan|N/A|IPCenter (Dynamic Automation)|Integrated Service and Support Management |42005|45657|Absher  Monty|McGaugh  Pamela|Do not know know when Softlayer became a Vendor for IBM so using the same dates we are using for Ipsoft. |Yes
IBM_IMP0163|SoftLayer Technologies Mexico  S. de R.L. de C.V.|Alfonso N poles Gandara 3111  Parque  Corporativo de Pe¤a Blanca  Santa Fe 01210  -   Mexico|N/A|IPCenter (Dynamic Automation)|Integrated Service and Support Management |42005|45657|Absher  Monty|McGaugh  Pamela|Do not know know when Softlayer became a Vendor for IBM so using the same dates we are using for Ipsoft. |Yes
IBM_IMP0326|Softlayer Holdings  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|IPCenter (Dynamic Automation)|Integrated Service and Support Management |42005|45657|Absher  Monty|McGaugh  Pamela|Do not know know when Softlayer became a Vendor for IBM so using the same dates we are using for Ipsoft. |Yes
IBM_IMP0327|Softlayer II Holdings Company  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|IPCenter (Dynamic Automation)|Integrated Service and Support Management |42005|45657|Absher  Monty|McGaugh  Pamela|Do not know know when Softlayer became a Vendor for IBM so using the same dates we are using for Ipsoft. |Yes
IBM_IMP0328|Softlayer Intermediate Holdings  LLC|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|IPCenter (Dynamic Automation)|Integrated Service and Support Management |42005|45657|Absher  Monty|McGaugh  Pamela|Do not know know when Softlayer became a Vendor for IBM so using the same dates we are using for Ipsoft. |Yes
IBM_IMP0329|Softlayer Technologies  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|IPCenter (Dynamic Automation)|Integrated Service and Support Management |42005|45657|Absher  Monty|McGaugh  Pamela|Do not know know when Softlayer became a Vendor for IBM so using the same dates we are using for Ipsoft. |Yes
IBM_EXP0161|Softlayer Technologies UK Limited|8 Lincoln's Inn Fields  London  WC2A 3BP  -  United Kingdom|N/A|Blue Prism - Robotic Process Automation|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|42583|44075|Harish Verma2/India/IBM|Laszlo Becz/Hungary/IBM|Softlayer / Bluemix infrastructure   IBM - Project Ellis EU/AP315548. Hosted in NL - Amsterdam  UK- London|No
CAN9057310090|CIRBA|AUSTRALIA|N/A|Software Defined Infrastructure Control (Densify)|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|41365||Ken Christiance |Ken Christiance||Yes
1000336816|CIRBA INC                          |GERMANY|N/A|Software Defined Infrastructure Control (Densify)|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|41365||Ken Christiance |Ken Christiance||Yes
1000336816|CIRBA INC|NEW ZEALAND|N/A|Software Defined Infrastructure Control (Densify)|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|41365||Ken Christiance |Ken Christiance||Yes
IBM_EXP0054|Softlayer Technologies Deutschland GmbH|Wilhelm-Fay-Straáe 30-34  65936 Frankfurt am Main  -  Germany|N/A|SLA Tool Set (ASB  CC  RCP  SSD  BI  SAS)|Infrastructure hosting|42522|47848|Brian Peterson  Lisa Chavez|Brian Peterson  Lisa Chavez  Reza Saghafi  Rick Cohen  Tim Griffin||
IBM_EXP0110|SoftLayer Dutch Holdings B.V|Paul van Vlissingenstraat 16 1096 BK Amsterdam   -  Netherlands|N/A|SLA Tool Set (ASB  CC  RCP  SSD  BI  SAS)|Infrastructure hosting|42522|47848|Brian Peterson  Lisa Chavez|Brian Peterson  Lisa Chavez  Reza Saghafi  Rick Cohen  Tim Griffin||
IBM_EXP0161|Softlayer Technologies UK Limited|8 Lincoln's Inn Fields  London  WC2A 3BP  -  United Kingdom|N/A|SLA Tool Set (ASB  CC  RCP  SSD  BI  SAS)|Infrastructure hosting|42522|47848|Brian Peterson  Lisa Chavez|Brian Peterson  Lisa Chavez  Reza Saghafi  Rick Cohen  Tim Griffin||
IBM_IMP0018|SoftLayer Technologies Australia Pty Limited|Level 13  IBM Centre  601 Pacific Highway  St Leonards NSW 2065  -   Australia|N/A|SLA Tool Set (ASB  CC  RCP  SSD  BI  SAS)|Infrastructure hosting|42522|47848|Brian Peterson  Lisa Chavez|Brian Peterson  Lisa Chavez  Reza Saghafi  Rick Cohen  Tim Griffin||
IBM_IMP0050|SoftLayer Technologies Canada Corporation / Societe SoftLayer Technologies Canada|1959 Upper Water Street  Suite 900  Halifax  B3J3N2  -   Canada|N/A|SLA Tool Set (ASB  CC  RCP  SSD  BI  SAS)|Infrastructure hosting|42522|47848|Brian Peterson  Lisa Chavez|Brian Peterson  Lisa Chavez  Reza Saghafi  Rick Cohen  Tim Griffin||
IBM_IMP0085|Softlayer Technologies Hong Kong Limited|Level 54  Hopewell Centre  183 Queen's Road East  -   Hong Kong|N/A|SLA Tool Set (ASB  CC  RCP  SSD  BI  SAS)|Infrastructure hosting|42522|47848|Brian Peterson  Lisa Chavez|Brian Peterson  Lisa Chavez  Reza Saghafi  Rick Cohen  Tim Griffin||
IBM_IMP0100|SoftLayer Technologies India Private Limited|No.12  Subramanya Arcade  Bannerghatta Main Road  -   India|N/A|SLA Tool Set (ASB  CC  RCP  SSD  BI  SAS)|Infrastructure hosting|42522|47848|Brian Peterson  Lisa Chavez|Brian Peterson  Lisa Chavez  Reza Saghafi  Rick Cohen  Tim Griffin||
IBM_IMP0140|SoftLayer Technologies Japan K.K.|19-21 Nihonbashi Hakozaki-cho Chuo-ku  Tokyo 103-8510  -   Japan|N/A|SLA Tool Set (ASB  CC  RCP  SSD  BI  SAS)|Infrastructure hosting|42522|47848|Brian Peterson  Lisa Chavez|Brian Peterson  Lisa Chavez  Reza Saghafi  Rick Cohen  Tim Griffin||
IBM_IMP0201|Softlayer Technologies Asia Private Limited|80 Robinson Road  #02-00  068898   -   Singapore|N/A|SLA Tool Set (ASB  CC  RCP  SSD  BI  SAS)|Infrastructure hosting|42522|47848|Brian Peterson  Lisa Chavez|Brian Peterson  Lisa Chavez  Reza Saghafi  Rick Cohen  Tim Griffin||
IBM_IMP0329|Softlayer Technologies  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|SLA Tool Set (ASB  CC  RCP  SSD  BI  SAS)|Infrastructure hosting|42522|47848|Brian Peterson  Lisa Chavez|Brian Peterson  Lisa Chavez  Reza Saghafi  Rick Cohen  Tim Griffin||
1000370051|AMAZON WEB|BRAZIL|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000370051|AMAZON WEB SERVICES INC|UNITED STATES|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000370051|AMAZON WEB SERVICES INC            |NORWAY|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
K00243|AMAZON WEB SERVICES  INC.|JAPAN|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
00293978403|LENOVO GLO|AUSTRALIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000447639|LENOVO GLO|INDIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
L0108|LENOVO IND|INDIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000346040|LENOVO PC|INDIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
L0113|LENOVO SIN|INDIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
L00123|LENOVO TEC|MALAYSIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000379716|LENOVO TEC|MALAYSIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1660|LENOVO AUS|NEW ZEALAND|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000384267|LENOVO GLO|NEW ZEALAND|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
L46651|LENOVO SIN|PHILIPPINES|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000432010|LENOVO ENT|SINGAPORE|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
L826|LENOVO SIN|SINGAPORE|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
LI0011|LENOVO KOR|SOUTH KOREA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000328333|LENOVO KOR|SOUTH KOREA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
L00103|LENOVO THA|THAILAND|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
L00088|LENOVO HON|HONG KONG|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
27250846|LENOVO T|TAIWAN|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000433417|LENOVO TEC|AUSTRIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
813067|LENOVO TEC|AUSTRIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000346040|LENOVO GLO|BULGARIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000433096|LENOVO.GLO|BULGARIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
