Procurement Vendor ID (Mandatory for 1° Tier Vendor)|Supplier Name|Address/Country|VAT Number|PO Number (if  first tier vendor) or ICA-DOU (if IBM entity or IBM Subsidiary)|Is the PO GDPR Relevant?|Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors|Briefly describe the type of services/data processing activity performed by the Vendor|In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))|PO Status|Start Date|End Date|Business Unit that provide the services through this vendor (free text )|Requester/Approver Name|Please identify the Customer(s) or Account(s) under the PO|NOTE|Account WBS Level 2|Customer Contract Number|Country|Account|Final RA|DPE Contact|PO amount (USD)|COMGROUP_CD|MATLGRP_ID|COMGROUP_CD-DISCRIPTION|MATLGRP_ID-DISCRIPTION
1000385583|KINGS CONSULTING SERVICES LIMITED|HONG KONG||P5YKTZ01|Yes|PROTECH|One time O365  AD and Window server environment implementation ; Microsoft O365 Level 2/3 Admin support for 36 months|Distributed Middleware  Databases  Servers and Storage Management|Open|6/10/2016|6/9/2019|ITS Managed Service|NGECT@HK1.IBM.COM|LSH Auto UK Limited|Pls counter confirm if it is GDPR relevant.  It is level 3 o365 admin support. O365 is physically located in AP region.|HKCQVMZ|1610091B|HK|LSH Auto UK Limited|High|Amy OY Wong/Hong Kong/IBM|642552.364102564||||
70385149|AT&T GLOBAL NETWORK SERVICES TAIWAN LTD|TAIWAN||P5VJG301|Yes|N/A|AT&T service (Network/Line leasing)|only line leasing|Open|10/14/2015|6/24/2019||ELIU@TW.IBM.COM|EVA Airways Corp.||TWCQTHI|14277WT1|TW|EVA Airways Corp.|High|Cliff Lin/Taiwan/IBM@IBMTW|229950.92|H3|T69|Includes Wireless (mobile phones  pagers  data wireless and satellites) and wireline (domestic carrier voice and data services  international carrier services  audio conferencing  video conferencing and calling cards).|TRANSPORT SERVICES (AT&T ONLY)
30975197|YONG CHENG TRAFFIC LTD|TAIWAN||P68LTD01|Yes|N/A|Tape Courier (PO will be ended in FEB because vendor changed)|Systems Management Operations like (1) Integrated Service Management and Governance; (2) Portable Storage Media; (3) System Operations and (4) Systems Management Integration|Open|12/27/2017|12/27/2017||YKLIN@TW.IBM.COM|UITC (Contract Change)||TWCQVYE|16190WT1|TW|UITC (Contract Change)|High|Daniel YK Lin/Taiwan/IBM|1613.95|W|W22|Payments and costs associated with logistics services.|TAPE MEDIA RETENTION
A00308|AT&T GLOBAL NETWORK SERVICES HONG KONG LIMITED|HONG KONG||HII000036|Yes|N/A|Network Management Service|Managed Network Services|Open|9/17/2014|12/16/2014||NGECT@HK1.IBM.COM|Gibson Innovations Limited||HKCQSU9|1450056|HK|Gibson Innovations Limited|Moderate|Terence CH Wong/Hong Kong/IBM|1629179.94|H3|Y65|Includes Wireless (mobile phones  pagers  data wireless and satellites) and wireline (domestic carrier voice and data services  international carrier services  audio conferencing  video conferencing and calling cards).|GO TO MARKET /NEW CUSTOMER-AT&T ONLY
1000416253|AT AND T GLOBAL NETWORK SERVICES|RUSSIA||HII000037|Yes|N/A|Network Management Service|Managed Network Services|Open|10/15/2014|6/14/2015||NGECT@HK1.IBM.COM|Gibson Innovations Limited||HKCQSU9|1450056|HK|Gibson Innovations Limited|Moderate|Terence CH Wong/Hong Kong/IBM|8199.99|H3|Y65|Includes Wireless (mobile phones  pagers  data wireless and satellites) and wireline (domestic carrier voice and data services  international carrier services  audio conferencing  video conferencing and calling cards).|GO TO MARKET /NEW CUSTOMER-AT&T ONLY
A00308|AT&T GLOBAL NETWORK SERVICES HONG KONG LIMITED|HONG KONG||HSD000040|Yes|N/A|Network Management Service|Managed Network Services|Open|3/1/2015|3/30/2016||NGECT@HK1.IBM.COM|Gibson Innovations Limited||HKCQSVB|1450056|HK|Gibson Innovations Limited|Moderate|Terence CH Wong/Hong Kong/IBM|727443.27|H3|Y65|Includes Wireless (mobile phones  pagers  data wireless and satellites) and wireline (domestic carrier voice and data services  international carrier services  audio conferencing  video conferencing and calling cards).|GO TO MARKET /NEW CUSTOMER-AT&T ONLY
A00308|AT&T GLOBAL NETWORK SERVICES HONG KONG LIMITED|HONG KONG||HII000035|Yes|N/A|Network Management Service|Managed Network Services|Open|9/17/2014|3/31/2016||NGECT@HK1.IBM.COM|Gibson Innovations Limited||HKCQSVF|1450056|HK|Gibson Innovations Limited|Moderate|Terence CH Wong/Hong Kong/IBM|1999012.28|H3|Y65|Includes Wireless (mobile phones  pagers  data wireless and satellites) and wireline (domestic carrier voice and data services  international carrier services  audio conferencing  video conferencing and calling cards).|GO TO MARKET /NEW CUSTOMER-AT&T ONLY
1000416253|AT AND T GLOBAL NETWORK SERVICES|RUSSIA||HII000038|Yes|N/A|Network Management Service|Managed Network Services|Open|10/15/2014|3/31/2016||NGECT@HK1.IBM.COM|Gibson Innovations Limited||HKCQSVF|1450056|HK|Gibson Innovations Limited|Moderate|Terence CH Wong/Hong Kong/IBM|11995.19|H3|Y65|Includes Wireless (mobile phones  pagers  data wireless and satellites) and wireline (domestic carrier voice and data services  international carrier services  audio conferencing  video conferencing and calling cards).|GO TO MARKET /NEW CUSTOMER-AT&T ONLY
A00308|AT&T GLOBAL NETWORK SERVICES HONG KONG LIMITED|HONG KONG||P5ZCNR01|Yes|N/A|Network Management Service|Managed Network Services|Open|5/4/2016|5/3/2017||LUPATR@HK1.IBM.COM|Gibson Innovations Limited||HKCQSVF|1450056|HK|Gibson Innovations Limited|Moderate|Terence CH Wong/Hong Kong/IBM|2157383.83|H3|Y65|Includes Wireless (mobile phones  pagers  data wireless and satellites) and wireline (domestic carrier voice and data services  international carrier services  audio conferencing  video conferencing and calling cards).|GO TO MARKET /NEW CUSTOMER-AT&T ONLY
A00308|AT&T GLOBAL NETWORK SERVICES HONG KONG LIMITED|HONG KONG||P65GZC01|Yes|N/A|Network Management Service|Managed Network Services|Open|5/4/2015|5/3/2025||EDDIECHAU@HK1.IBM.COM|Gibson Innovations Limited||HKCQSVF|1450056|HK|Gibson Innovations Limited|Moderate|Terence CH Wong/Hong Kong/IBM|1363419.61|H3|Y65|Includes Wireless (mobile phones  pagers  data wireless and satellites) and wireline (domestic carrier voice and data services  international carrier services  audio conferencing  video conferencing and calling cards).|GO TO MARKET /NEW CUSTOMER-AT&T ONLY
A00308|AT&T GLOBAL NETWORK SERVICES HONG KONG LIMITED|HONG KONG||P66Z5K01|Yes|N/A|Network Management Service|Managed Network Services|Open|5/4/2017|5/3/2018||EDDIECHAU@HK1.IBM.COM|Gibson Innovations Limited||HKCQSVF|1450056|HK|Gibson Innovations Limited|Moderate|Terence CH Wong/Hong Kong/IBM|2722199.36|H3|Y65|Includes Wireless (mobile phones  pagers  data wireless and satellites) and wireline (domestic carrier voice and data services  international carrier services  audio conferencing  video conferencing and calling cards).|GO TO MARKET /NEW CUSTOMER-AT&T ONLY
A00308|AT&T GLOBAL NETWORK SERVICES HONG KONG LIMITED|HONG KONG||P5ZCNR01|Yes|N/A|Network Management Service|Managed Network Services|Open|5/4/2016|5/3/2017||LUPATR@HK1.IBM.COM|Gibson Innovations Limited||HKCQSVM|1450056|HK|Gibson Innovations Limited|Moderate|Terence CH Wong/Hong Kong/IBM|2157383.83|H3|Y65|Includes Wireless (mobile phones  pagers  data wireless and satellites) and wireline (domestic carrier voice and data services  international carrier services  audio conferencing  video conferencing and calling cards).|GO TO MARKET /NEW CUSTOMER-AT&T ONLY
A00308|AT&T GLOBAL NETWORK SERVICES HONG KONG LIMITED|HONG KONG||P65GZC01|Yes|N/A|Network Management Service|Managed Network Services|Open|5/4/2015|5/3/2025||EDDIECHAU@HK1.IBM.COM|Gibson Innovations Limited||HKCQSVM|1450056|HK|Gibson Innovations Limited|Moderate|Terence CH Wong/Hong Kong/IBM|1363419.61|H3|Y65|Includes Wireless (mobile phones  pagers  data wireless and satellites) and wireline (domestic carrier voice and data services  international carrier services  audio conferencing  video conferencing and calling cards).|GO TO MARKET /NEW CUSTOMER-AT&T ONLY
A00308|AT&T GLOBAL NETWORK SERVICES HONG KONG LIMITED|HONG KONG||P5N99V01|Yes|N/A|Network Management Service|Managed Network Services|Open|2/22/2222|2/22/2222||NGECT@HK1.IBM.COM|Gibson Innovations Limited||HKCQTJ2|1450056|HK|Gibson Innovations Limited|Moderate|Terence CH Wong/Hong Kong/IBM|802023.21|H4|Y64|Network Cabling and Installation  Networking Equipment (Routers  Switches  Hubs  Modems  Wireless Networking Equipment)  Voice & Telephony Equipment (PBX  ACD  Sets  Adjunct Equipment)  Uninterruptable Power Supplies <10kVA and related services (PDP  installation  MAC/IMAC  Maintenance  Help Desk and End-User Support).|OEM DATA/NET-EX
A00308|AT&T GLOBAL NETWORK SERVICES HONG KONG LIMITED|HONG KONG||P5NWYR01|Yes|N/A|Network Management Service|Managed Network Services|Open|2/22/2222|2/22/2222||NGECT@HK1.IBM.COM|Gibson Innovations Limited||HKCQTJ2|1450056|HK|Gibson Innovations Limited|Moderate|Terence CH Wong/Hong Kong/IBM|165587.78|H4|Y64|Network Cabling and Installation  Networking Equipment (Routers  Switches  Hubs  Modems  Wireless Networking Equipment)  Voice & Telephony Equipment (PBX  ACD  Sets  Adjunct Equipment)  Uninterruptable Power Supplies <10kVA and related services (PDP  installation  MAC/IMAC  Maintenance  Help Desk and End-User Support).|OEM DATA/NET-EX
|IBM Solution and Services (Shenzhen) Co.  Ltd.|10F  GuoRen Building  No.5  3 Gaoxin Rd. C.  Hi-Tech Industrial Park  NanShan District  ShenZhen  China(518057)||67255127|Yes|N/A|Service Desk|MCCS-Service Desk; Workplace Support Services|Open|4/1/2015|3/31/2025|China/Major 870/Dept HC3 (ISSC)|Requester :Huey Wen Yang/Malaysia/IBM Approver : Lawrence Wan/Hong Kong/IBM   Winnie PY LAM/Hong Kong/IBM|Gibson Innovations Limited||HKCQSVB|1450056|HK|Gibson Innovations Limited|Moderate|Terence CH Wong/Hong Kong/IBM|||||
1000423261|BJCBJC INFORMATION TECHNOLOGY SUZHOU CO LTD|||4620263029|Yes|N/A|TM SHAN SHAN PAN who is infra SA||Open|1/1/2018|12/31/2018|||Gibson Innovations Limited||||HK|Gibson Innovations Limited|Moderate|Terence CH Wong/Hong Kong/IBM|||||
