<<<<<<< HEAD
Procurement Reference (Mandatory for Third Party - 1° Tier Vendor)  or IBM identification Nbr.	Entity Name (IBM or Third Party vendor)	Address/country	Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors	Offering ID (level 30)	Offering ID (level 40)	In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))	On boarding	Off-Boarding	Offering Owner	Assesment Owner	NOTE
4911013365 IBM Switzerland	Akamai Technologies GmbH  	GERMANY	N/A	6950-99H	N/A	Managed Services and Support	5/16/2011		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
4916013117 IBM Hingkong	Akamai Technologies Hong Kong Limited	HONG KONG	N/A	6950-99H	N/A	Managed Services and Support	7/27/2016		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
4915014254 IBM Peru	Akamai Technologies Inc	UNITED STATES	N/A	6950-99H	N/A	Managed Services and Support	12/1/2015		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
491010263	Akamai Technologies Israel Ltd	ISRAEL	N/A	6950-99H	N/A	Managed Services and Support	5/5/2013		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
4903JP0085	Akamai Technologies Japan Ltd	JAPAN	N/A	6950-99H	N/A	Managed Services and Support	3/7/2003		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
4916008889	Akamai Technologies Limited	UNITED ARAB EMIRATES	N/A	6950-99H	N/A	Managed Services and Support	12/29/2016		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
4913900591	Akamai Technologies Limited	UNITED KINGDOM	N/A	6950-99H	N/A	Managed Services and Support	7/1/2001		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
4914007888	Akamai Technologies Netherlands B.V. Australian	AUSTRALIA	N/A	6950-99H	N/A	Managed Services and Support	9/15/2014		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
4901JT0216	Akamai Technologies S.r.l	ITALY	N/A	6950-99H	N/A	Managed Services and Support	1/1/2015		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami083	Akamai Technologies s.r.o.	CZECH REPUBLIC	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami028	Akamai Technologies s.r.o.	CZECH REPUBLIC	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
4910038037	Akamai Technologies SARI	FRANCE	N/A	6950-99H	N/A	Managed Services and Support	1/28/2011		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
4911009951	Akamai Technologies SARI	FRANCE	N/A	6950-99H	N/A	Managed Services and Support	4/11/2011		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
4914016204	Akamai Technologies Singapore Pte Ltd	SINGAPORE	N/A	6950-99H	N/A	Managed Services and Support	10/31/2014		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
4917007225	Akamai Technologies Solutions India PVT Ltd	INDIA	N/A	6950-99H	N/A	Managed Services and Support	2/1/2017		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
4910017724	Akamai Technologies Spain S.I.	SPAIN	N/A	6950-99H	N/A	Managed Services and Support	6/10/2010		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
4911012627	Akamai Technologies YH	REPUBLIC OF KOREA	N/A	6950-99H	N/A	Managed Services and Support	1/26/2009		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
4911014950 IBM Ireland	Akamai Technologies  Limited	UNITED KINGDOM	N/A	6950-99H	N/A	Managed Services and Support	6/7/2011		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
4901FI0214 IBM Finland	Akamai Technoloies Ab	UNITED KINGDOM	N/A	6950-99H	N/A	Managed Services and Support	12/21/2001		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami060	Akamai Tecnologias e Serviços do Brasil Ltda.	BRAZIL	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
4916007183	Akamai Tecnologias e Serviços do Brasil Ltda.	BRAZIL	N/A	6950-99H	N/A	Managed Services and Support	4/22/2016		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami092	Akamai Teknologi Hizmetleri Limited Şikreti	TURKEY	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami037	Akamai Teknologi Hizmetleri Limited Şikreti	TURKEY	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
4914019671	Akamai Teknolojilizmetleri Limited Sirketi	TURKEY	N/A	6950-99H	N/A	Managed Services and Support	6/1/2015		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
1000348654	ALASCOM SERVICES SRL	ITALY	N/A	6955-10H	6950-92Z (ITS)  6940-94A (SO)	Integrated Service and Support Management	5/15/2014	12/31/2018			
1000348654	ALASCOM SERVICES SRL	ITALY	N/A	6955-40H	6950-92Z (ITS)  6940-94A (SO)	Integrated Service and Support Management	5/15/2014	12/31/2018	Sourav Das sodas008@in.ibm.com		6955-10H (ITS)  6955-40H (SO)
1000370051	AMAZON WEB	BRAZIL	N/A	6940-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000370051	AMAZON WEB	BRAZIL	N/A	6950-15Y	6948-52N	IBM Cloud Resiliency Orchestration	11/15/2016	12/31/2050	Anilkumar Khadke	Anilkumar Khadke	PID00100913  - Vendor location will be selected based on customer requirement
1000370051	AMAZON WEB	BRAZIL	N/A	6950-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000370051	AMAZON WEB SERVICES INC	BRAZIL	N/A	6940-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000370051	AMAZON WEB SERVICES INC	BRAZIL	N/A	6950-15Y	6948-52N	IBM Cloud Resiliency Orchestration	11/15/2016	12/31/2050	Anilkumar Khadke	Anilkumar Khadke	PID00100913  - Vendor location will be selected based on customer requirement
1000370051	AMAZON WEB SERVICES INC	BRAZIL	N/A	6950-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000370051	AMAZON WEB SERVICES INC	ITALY	N/A	(1) 6950-04Z  6941-03F(SO) (2) 6950-05B   6941-03E(SO)	6948-20X/6948-35Z 6948-39R/6948-35Y	Infrastructure and Resiliency; Disaster Recovery and Resiliency Services	4/12/2016		Apurva P Thanawala/India/IBM	Shweta Srivastava1/India/IBM	Reseller agreement with GTS (IMI)
1000370051	AMAZON WEB SERVICES INC	UNITED STATES	N/A	6940-93H	6948-68V  6943-12P	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000370051	AMAZON WEB SERVICES INC	UNITED STATES	N/A	6950-93H	6948-68V  6943-12P	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000370051	AMAZON WEB SERVICES INC	BRAZIL	N/A	6940-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000370051	AMAZON WEB SERVICES INC	BRAZIL	N/A	6950-15Y	6948-52N	iBM Cloud Resiliency Orchestration	11/15/2016	12/31/2050	Anilkumar Khadke	Anilkumar Khadke	PID00100913  - Vendor location will be selected based on customer requirement
1000370051	AMAZON WEB SERVICES INC	BRAZIL	N/A	6950-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
K00243	AMAZON WEB SERVICES  INC.	JAPAN	N/A	6940-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
K00243	AMAZON WEB SERVICES  INC.	JAPAN	N/A	6950-15Y	6948-52N	iBM Cloud Resiliency Orchestration	11/15/2016	12/31/2050	Anilkumar Khadke	Anilkumar Khadke	PID00100913  - Vendor location will be selected based on customer requirement
K00243	AMAZON WEB SERVICES  INC.	JAPAN	N/A	6950-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
521050	ANIXTER DO	RUA ANTON	N/A	6941-03W	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	**New - Not identified as a previous vendor of services      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
521050	ANIXTER DO	RUA ANTON	N/A	6950-98H	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	**New - Not identified as a previous vendor of services      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000030718	ANIXTER INC	UNITED STATES	N/A	6950-93A	6948-34U	Transition and Transformation (T&T) Procure  Install and Configure a Layer-2 fiber-based Passive Optical Network for the enterprise	4/1/2018		John Short	Luis Farrolas	
1000432882	APPDYNAMICS INC	ITALY	N/A	(1) 6950-04Z  6941-03F(SO) (2) 6950-05B   6941-03E(SO)	6948-46Q/6943-06K(SO)				Uddeepta Bandyopadhyay/India/IBM	Uddeepta Bandyopadhyay/India/IBM	Assumption is that we are part of the IBM Wide agreement/partnership which was signed
unknowVendor_Id153	AppNeta	NOT IN GT	N/A	6941-03W	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM GCC - Tooling provided as part of standard Service Delivery      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id500	AppNeta	NOT IN GT	N/A	6941-94X	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM GCC - Tooling provided as part of standard Service Delivery      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id328	AppNeta	NOT IN GT	N/A	6950-15Y	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM GCC - Tooling provided as part of standard Service Delivery      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id500	AppNeta	NOT IN GT	N/A	6950-15Y	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM GCC - Tooling provided as part of standard Service Delivery      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id153	AppNeta	NOT IN GT	N/A	6950-98H	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM GCC - Tooling provided as part of standard Service Delivery      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000362267	ARKA SERVICE SRL	ITALY	N/A	6940-98P	6948-97E ; 6943-05R	MCCS-Service Desk; Workplace Support Services	1/1/2017	12/31/2018	Mohit Bhatnagar	Mohit Bhatnagar	Service Desk
1000362267	ARKA SERVICE SRL	ITALY	N/A	6950-99N	6948-97E ; 6943-05R	MCCS-Service Desk; Workplace Support Services	1/1/2017	12/31/2018	Mohit Bhatnagar	Mohit Bhatnagar	Service Desk
IBM Emptoris No. 4917001720.000	AT & T Corp	UNITED STATES	N/A	6941-94L	6948-90S  6943-90S   6948-46J  6943-09F	Mobility Services Delivery; Managed Mobility and Workplace Support Services			Rahul Pathak	Aurelien Chatiliez	
IBM Emptoris No. 4917001720.000	AT & T Corp	UNITED STATES	N/A	6950-15R	6948-90S  6943-90S   6948-46J  6943-09F	Mobility Services Delivery; Managed Mobility and Workplace Support Services			Rahul Pathak	Aurelien Chatiliez	
1000131462	AT & T GLOBAL NETWORK SERVICES	BELGIUM	N/A	6941-03A	6950-17C IBM Cloud Managed Services for IBM i	Managed Network Services			Nicolas Le Van De		
1000120302	AT & T GLOBAL SERVICES INC	UNITED STATES	N/A	6941-03A	6950-17C IBM Cloud Managed Services for IBM i	Managed Network Services			Nicolas Le Van De		
Akamai Technologies	Akamai Technologies   AB	FINLAND	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami043	AT AB	FINLAND	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami099	Akamai Technologies   AB	NORWAY	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami044	AT AB	NORWAY	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami097	Akamai Technologies   AB	SWEDEN	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami042	AT AB	SWEDEN	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami094	AT Belgium SPRL	BELGIUM	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami039	AT Belgium SPRL	BELGIUM	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami100	AT Denmark	DENMARK	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami045	AT Denmark	DENMARK	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami074	Akamai Technologies  GK	JAPAN	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami019	AT GK	JAPAN	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami079	Akamai Technologies  GmbH	AUSTRIA	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami024	AT GmbH	AUSTRIA	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami087	Akamai Technologies	BULGARIA	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami032	AT GmbH	BULGARIA	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami089	Akamai Technologies	ESTONIA	N/A	6941-03J	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
Akami034	AT GmbH	ESTONIA	N/A	6950-99H	N/A	Managed Services and Support	1/1/2006		Loeb  Juergen	Chandrashekara  Periyapatna V	IBM rebrand the Akamai Managed Services as IBM Edge Delivery Services -- this is possibly relevant because IBM has ALL obligation in comparision to resell of services  In addition other Bus consume Akamai Services   or   Security make it part of their offering and resell Akamai branded services
