Procurement Vendor ID (Mandatory for 1° Tier Vendor)	Supplier Name	Country	VAT Number	Subcontractos	Is there further sub-contracting to second or third tier vendors? If so please provide the full names and full address of 2nd or 3rd tier vendors	PO Number (if  first tier vendor) or ICA-DOU (if IBM entity or IBM Subsidiary)	Family code	PO/BSAP/ICA/DOU full description	Briefly describe the type of services/data processing activity performed by the Vendor	Service Caegory was identified (Y/N)	In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))	PO Status	Start Date	End Date	PO/ICA Amount  (not mandatory - free text)	Business Unit that provide the services through this vendor (free text )	Requester/Approver Name	Customer identified	Please identify the Customer(s) or Account(s) under the PO	NOTE	Is the PO GDPR Relevant?	Market	Market note	Action Owner	Data Input Completed? Yes/No/Partial.	Next Person to chase		Should the PO be closed immediately? Yes or No.
1000437171	EXPERIS AB	SWEDEN	SE556855110401	N/A	N/A	4603139083	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM PETER SANDBERG 01 SEP 2015 31 DEC 201		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	STEFAN HARLEN	Yes	STOCKHOLMS LäNS LAND	IGS Project Number: 467BCWP	Yes	Nordic	Lars Stenholt	STEFAN HARLEN	Yes		checked ok	Yes
1000437171	EXPERIS AB	SWEDEN	SE556855110401	N/A	N/A	4603140339	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM JOHAN SILVERSJ\ 02 SEP 2015 31 DEC 20		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	STEFAN HARLEN	Yes	STOCKHOLMS LäNS LAND	IGS Project Number: 467BCVL	Yes	Nordic	Lars Stenholt	STEFAN HARLEN	Yes		checked ok	Yes
1000437171	EXPERIS AB	SWEDEN	SE556855110401	N/A	N/A	4603156760	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM NICKLAS AF EKENSTAM 01 JAN 2016 30 JU		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	OLLE ANG	Yes	STOCKHOLMS LäNS LAND	IGS Project Number: 467BCVK	Yes	Nordic	Lars Stenholt	OLLE ANG	Yes		checked ok	Yes
1000437171	EXPERIS AB	SWEDEN	SE556855110401	N/A	N/A	4603156763	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM PER DANIELSSON 01 JAN 2016 30 JUN 201		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	OLLE ANG	Yes	STOCKHOLMS LäNS LAND	IGS Project Number: 467BCVL	Yes	Nordic	Lars Stenholt	OLLE ANG	Yes		checked ok	Yes
1000437171	EXPERIS AB	SWEDEN	SE556855110401	N/A	N/A	4603156784	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM JENS HEIDLING 01 JAN 2016 30 JUN 2016		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	OLLE ANG	Yes	STOCKHOLMS LäNS LAND	IGS Project Number: 467BCWX	Yes	Nordic	Lars Stenholt	OLLE ANG	Yes		checked ok	Yes
1000437171	EXPERIS AB	SWEDEN	SE556855110401	N/A	N/A	4603156785	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM JOHAN SILVERSJ\ 01 JAN 2016 30 JUN 20		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	OLLE ANG	Yes	STOCKHOLMS LäNS LAND	IGS Project Number: 467BCVL	Yes	Nordic	Lars Stenholt	OLLE ANG	Yes		checked ok	Yes
1000437171	EXPERIS AB	SWEDEN	SE556855110401	N/A	N/A	4603156786	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM CLAES KILGREN 01 JAN 2016 30 JUN 2016		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	OLLE ANG	Yes	STOCKHOLMS LäNS LAND	IGS Project Number: 467BCVL	Yes	Nordic	Lars Stenholt	OLLE ANG	Yes		checked ok	Yes
1000437171	EXPERIS AB	SWEDEN	SE556855110401	N/A	N/A	4603156788	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  AC PETER SANDBERG 01 JAN 2016 30 JUN 201		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	OLLE ANG	Yes	STOCKHOLMS LäNS LAND	IGS Project Number: 467BCWP	Yes	Nordic	Lars Stenholt	OLLE ANG	Yes		checked ok	Yes
1000437171	EXPERIS AB	SWEDEN	SE556855110401	N/A	N/A	4603160287	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM ANDERS ELIASSON 01 JAN 2016 30 JUN 20		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	OLLE ANG	Yes	STOCKHOLMS LäNS LAND	IGS Project Number: 467BCVL	Yes	Nordic	Lars Stenholt	OLLE ANG	Yes		checked ok	Yes
1000437171	EXPERIS AB	SWEDEN	SE556855110401	N/A	N/A	4603172747	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM AGIT ATAY 01 FEB 2016 30 JUN 2016		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	OLLE ANG	Yes	STOCKHOLMS LäNS LAND	IGS Project Number: 467BDMZ	Yes	Nordic	Lars Stenholt	OLLE ANG	Yes		checked ok	Yes
1000437171	EXPERIS AB	SWEDEN	SE556855110401	N/A	N/A	4603173014	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM SIMON KEKINI 15 FEB 2016 31 DEC 2016		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	OLLE ANG	Yes	STOCKHOLMS LäNS LAND	IGS Project Number: 467BDMZ	Yes	Nordic	Lars Stenholt	OLLE ANG	Yes		checked ok	Yes
1000343024	ZEROCHAOS AB	SWEDEN	SE556608508901	N/A	N/A	4603130324	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM ULF WERNERSSON 01 OCT 2015 30 JUN 201	Resources - hours	No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	CATRIN HALLERSTRO        M-LIN	Yes	F@RSVARSMAKTEN 1034	IGS Project Number: 467BC52	Yes	Nordic	Lars Stenholt	Catrin Hallerstrom-Linde	Yes		checked ok	Yes
1000343024	ZEROCHAOS AB	SWEDEN	SE556608508901	N/A	N/A	4603130329	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM GORAN EKDAHL 01 OCT 2015 30 JUN 2016	Resources - hours	No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	CATRIN HALLERSTRO        M-LIN	Yes	F@RSVARSMAKTEN 1034	IGS Project Number: 467BC50	Yes	Nordic	Lars Stenholt	Catrin Hallerstrom-Linde	Yes		checked ok	Yes
1000343024	ZEROCHAOS AB	SWEDEN	SE556608508901	N/A	N/A	4603135187	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM ANDERS BENGTSSON 14 SEP 2015 30 JUN 2	Resources - hours	No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	CATRIN HALLERSTRO        M-LIN	Yes	F@RSVARSMAKTEN 1034	IGS Project Number: 467BDPJ	Yes	Nordic	Lars Stenholt	Catrin Hallerstrom-Linde	Yes		checked ok	Yes
1000343024	ZEROCHAOS AB	SWEDEN	SE556608508901	N/A	N/A	4603135625	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM MIKAEL PERHULT 14 SEP 2015 30 JUN 201	Resources - hours	No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	CATRIN HALLERSTRO        M-LIN	Yes	F@RSVARSMAKTEN 1034	IGS Project Number: 467BDPJ	Yes	Nordic	Lars Stenholt	Catrin Hallerstrom-Linde	Yes		checked ok	Yes
1000343024	ZEROCHAOS AB	SWEDEN	SE556608508901	N/A	N/A	4603135779	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM J\RGEN \STERHULT 21 SEP 2015 30 JUN 2	Resources - hours	No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	CATRIN HALLERSTRO        M-LIN	Yes	F@RSVARSMAKTEN 1034	IGS Project Number: 467BC50	Yes	Nordic	Lars Stenholt	Catrin Hallerstrom-Linde	Yes		checked ok	Yes
1000343024	ZEROCHAOS AB	SWEDEN	SE556608508901	N/A	N/A	4603159338	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM MIKAEL BJ\RKLUND 01 JAN 2016 30 SEP 2		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	OLLE ANG	Yes	STOCKHOLMS LäNS LAND	IGS Project Number: 467BDMZ	Yes	Nordic	Lars Stenholt	OLLE ANG	Yes		checked ok	Yes
1000343024	ZEROCHAOS AB	SWEDEN	SE556608508901	N/A	N/A	4603161968	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM BJ\RN ANDERSSON 21 DEC 2015 31 DEC 20		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	LILLEMOR KALLBERG	Yes	SKATTEVERKET	IGS Project Number: 467BDJE	Yes	Nordic	Lars Stenholt	LILLEMOR KALLBERG	Yes		checked ok	Yes
1000343024	ZEROCHAOS AB	SWEDEN	SE556608508901	N/A	N/A	4603162029	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM JOHAN KALLIO 11 JAN 2016 30 DEC 2016		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	LILLEMOR KALLBERG	Yes	SKATTEVERKET	IGS Project Number: 467BDJE	Yes	Nordic	Lars Stenholt	LILLEMOR KALLBERG	Yes		checked ok	Yes
1000343024	ZEROCHAOS AB	SWEDEN	SE556608508901	N/A	N/A	4603162784	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM LENNART SVAHN 11 JAN 2016 30 JUN 2016	Resources - hours	No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	CATRIN HALLERSTRO        M-LIN	Yes	F@RSVARSMAKTEN 1034	IGS Project Number: 467BC50	Yes	Nordic	Lars Stenholt	Catrin Hallerstrom-Linde	Yes		checked ok	Yes
1000343024	ZEROCHAOS AB	SWEDEN	SE556608508901	N/A	N/A	4603177331	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM JOHAN SVENSSON 01 MAR 2016 31 DEC 201		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	LILLEMOR KALLBERG	Yes	SKATTEVERKET	IGS Project Number: 467BDJE	Yes	Nordic	Lars Stenholt	LILLEMOR KALLBERG	Yes		checked ok	Yes
1000343024	ZEROCHAOS AB	SWEDEN	SE556608508901	N/A	N/A	4603180598	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM JOAKIM HAMILTON 01 MAR 2016 31 DEC 20	This PO should be closed Joakim left the contract 1st of October	No	Select….	Open	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	LILLEMOR KALLBERG	Yes	SKATTEVERKET	IGS Project Number: 467BDJE	Yes	Nordic	Lars Stenholt	LILLEMOR KALLBERG	Yes		checked ok	Yes
1000250421	EWORK SCANDINAVIA AB	SWEDEN	SE556587870801	N/A	N/A	4603132840	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM T2CNHH MATHIAS JOHANSSON 01 OCT 2015	Resources - hours	No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	CATRIN HALLERSTRO        M-LIN	Yes	F@RSVARSMAKTEN 1034	IGS Project Number: 467BC50	Yes	Nordic	Lars Stenholt	Catrin Hallerstrom-Linde	Yes		checked ok	Yes
1000250421	EWORK SCANDINAVIA AB	SWEDEN	SE556587870801	N/A	N/A	4603133190	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM T2CNHQ STEFAN WENNERGREN 01 OCT 2015	Resources - hours	No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	CATRIN HALLERSTRO        M-LIN	Yes	F@RSVARSMAKTEN 1034	IGS Project Number: 467BC52	Yes	Nordic	Lars Stenholt	Catrin Hallerstrom-Linde	Yes		checked ok	Yes
1000250421	EWORK SCANDINAVIA AB	SWEDEN	SE556587870801	N/A	N/A	4603163201	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM T2D427 ARON RYDQUIST 01 JAN 2016 30 J	Resources - hours	No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	CATRIN HALLERSTRO        M-LIN	Yes	F@RSVARSMAKTEN 1034	IGS Project Number: 467BC50	Yes	Nordic	Lars Stenholt	Catrin Hallerstrom-Linde	Yes		checked ok	Yes
1000327027	ZEROCHAOS NORDIC APS	DENMARK	DK29770859	N/A	N/A	4603091841	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM CARSTEN WEDEGE 01 JUL 2015 31 JAN 201		No	Select….	OPEN	3/30/2015	1/31/2016	N/A	GTS INFRA SVCS	MICHAEL SONDERGAAR       D JEN	No			Yes	Nordic	Lars Stenholt	Lars Stenholt	Partial		checked ok	Yes
1000169212	CGI SVERIGE AB	SWEDEN	SE556337219101	N/A	N/A	4603203909	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM T2DDR2 TOMMY FR\SSMAN 01 JUL 2016 30		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	LILLEMOR KALLBERG	No			Yes	Nordic	Lars Stenholt	LILLEMOR KALLBERG	Yes		checked ok	Yes
1000169212	CGI SVERIGE AB	SWEDEN	SE556337219101	N/A	N/A	4603203924	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM T2DDRC SAMI PASMA 01 JUL 2016 30 JUN		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	LILLEMOR KALLBERG	No			Yes	Nordic	Lars Stenholt	LILLEMOR KALLBERG	Yes		checked ok	Yes
1000206011	EXPERIS AS	NORWAY	982683955	N/A	N/A	4603119723	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM T2CH36 THORSTEIN HANSEN 19 JUN 2015 3		No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	HARALD SCHJELDERU        P	No			Yes	Nordic	Lars Stenholt	HARALD SCHJELDERU        P	Partial		checked ok	Yes
1000206011	EXPERIS AS	NORWAY	982683955	N/A	N/A	4603127341	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM RUNE DØSSLAND 01 JUL 2015 31 DEC 2015		No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	MORTEN STROEM	No		Morten Stroem: These can be closed they have left IBM and the project have been closed long time back	Yes	Nordic	Lars Stenholt	MORTEN STROEM	Partial		checked ok	Yes
1000206011	EXPERIS AS	NORWAY	982683955	N/A	N/A	4603162813	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM STEIN AAMLID 01 DEC 2015 31 MAY 2016		No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	MIKAEL EK	No			Yes	Nordic	Lars Stenholt	MIKAEL EK	Partial		checked ok	Yes
1000206011	EXPERIS AS	NORWAY	982683955	N/A	N/A	4603162815	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM EDSON OCHOA 01 DEC 2015 31 MAY 2016		No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	TORBEN HOLM	No			Yes	Nordic	Lars Stenholt	TORBEN HOLM	Partial		checked ok	Yes
1000206011	EXPERIS AS	NORWAY	982683955	N/A	N/A	4603162816	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM NELSON LIANG 01 DEC 2015 31 MAY 2016		No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	TORBEN HOLM	No			Yes	Nordic	Lars Stenholt	TORBEN HOLM	Partial		checked ok	Yes
1000206011	EXPERIS AS	NORWAY	982683955	N/A	N/A	4603162828	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM RENEWAL RENEWAL 01 JAN 2016 31 DEC 20		No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	BENT RODEM	No		IGS Project Number: 067A0E	Yes	Nordic	Lars Stenholt	BENT RODEM	Partial		checked ok	Yes
1000206011	EXPERIS AS	NORWAY	982683955	N/A	N/A	4603164449	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM RUNE DØSSLAND 01 JAN 2016 30 JUN 2016		No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	MORTEN STROEM	No		Morten Stroem: These can be closed they have left IBM and the project have been closed long time back	Yes	Nordic	Lars Stenholt	MORTEN STROEM	Partial		checked ok	Yes
1000206011	EXPERIS AS	NORWAY	982683955	N/A	N/A	4603198046	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM STEIN AAMLID 01 JUN 2016 30 NOV 2016		No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	MIKAEL EK	No			Yes	Nordic	Lars Stenholt	MIKAEL EK	Partial		checked ok	Yes
1000206011	EXPERIS AS	NORWAY	982683955	N/A	N/A	4603216840	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM LARS HJERTAAS 04 MAY 2016 31 DEC 2016		No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	HARALD SCHJELDERU        P	No			Yes	Nordic	Lars Stenholt	HARALD SCHJELDERU        P	Partial		checked ok	Yes
1000206011	EXPERIS AS	NORWAY	982683955	N/A	N/A	4603231889	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM BJØRN ERIK KLEVEN 01 NOV 2016 30 JUN		No	Select….	OPEN	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	TORBEN HOLM	No			Yes	Nordic	Lars Stenholt	TORBEN HOLM	Partial		checked ok	Yes
1000206011	EXPERIS AS	NORWAY	982683955	N/A	N/A	4603232638	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM JARLE HOEL 01 NOV 2016 30 JUN 2017		No	Select….	OPEN	11/1/2016	6/30/2017	N/A	GTS INFRA SVCS	TORBEN HOLM	No			Yes	Nordic	Lars Stenholt	TORBEN HOLM	Partial		checked ok	Yes
1000289060	EXPERIS AS	DENMARK	DK26183162	N/A	N/A	4603126277	N	N  -  TECH SUBCON  -  CSA EXCEPTIONS-T&M  -  KENNETH VILLADSEN WPP/FALCON 1.7.15-30.		No	Select….	OPEN	7/1/2015	11/30/2015	N/A	GTS INFRA SVCS	JANE FROERUP	No		The Sub-cons has ended - so the PO just needs to be closed.	Yes	Nordic	Lars Stenholt	JANE FROERUP	Partial		checked ok	Yes
1000289060	EXPERIS AS	DENMARK	DK26183162	N/A	N/A	4603157635	N	N  -  TECH SUBCON  -  CSA EXCEPTIONS-T&M  -  KENNETH VILLADSEN WPP/FALCON 1.12.15-29		No	Select….	OPEN	12/1/2015	2/29/2016	N/A	GTS INFRA SVCS	JANE FROERUP	No		The Sub-cons has ended - so the PO just needs to be closed.	Yes	Nordic	Lars Stenholt	JANE FROERUP	Partial		checked ok	Yes
1000437171	EXPERIS AB	SWEDEN	SE556855110401	N/A	N/A	4603126896	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM DONOVAN HUGHES 01 JUL 2015 30 SEP 201		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	PETER CARLSSON	No			Yes	Nordic	Lars Stenholt	PETER CARLSSON	Yes		checked ok	
1000437171	EXPERIS AB	SWEDEN	SE556855110401	N/A	N/A	4603140022	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM DONOVAN HUGHES 01 OCT 2015 31 DEC 201		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	ANNIKA CASSWALL	No			Yes	Nordic	Lars Stenholt	ANNIKA CASSWALL	Yes		checked ok	Yes
1000437171	EXPERIS AB	SWEDEN	SE556855110401	N/A	N/A	4603141013	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM ANDERS ELIASSON 21 SEP 2015 31 DEC 20		No	Select….	Closed	2/22/2222	2/22/2222	N/A	GTS INFRA SVCS	STEFAN HARLEN	No		IGS Project Number: SPL02	Yes	Nordic	Lars Stenholt	STEFAN HARLEN	Yes		checked ok	Yes
1000437171	EXPERIS AB	SWEDEN	SE556855110401	N/A	N/A	4603168784	N	N  -  TECH SUBCON  -  SUBCON UNIQUE SKILL T&M  -  TM DONOVAN HUGHES 01 JAN 2016 31 AUG 201		No	Select….	Closed	1/1/2016	8/31/2016	N/A	GTS INFRA SVCS	ANNIKA CASSWALL	No			Yes	Nordic	Lars Stenholt	ANNIKA CASSWALL	Yes		checked ok	Yes
